Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,indegree,outdegree,Degree
christian_16ec,,,17,0.131124,0.176015,65911.384034,7,6,8,14
UNESCO_es,,,0,0,0,0,7,1,0,1
carlos_e_flores,,,0,0,0,0,121,3,0,3
GuevPedro,,,0,0,0,0,7,16,0,16
FEquidad,,,19,0.118072,0.168672,1.533333,7,4,3,7
yali_loaiza,,,22,0.086408,0.1111,4174.682738,27,12,6,18
rosannaoficial,,,0,0,0,0,7,1,0,1
ChezkoArguero,,,18,0.114117,0.135703,9446.843314,7,1,1,2
rodolfoasar,,,0,0,0,0,7,1,0,1
vladycruz,,,0,0,0,0,7,1,0,1
emilio_braveman,,,19,0.119849,0.171853,17872.422222,7,2,5,7
ecopiniones,,,0,0,0,0,7,1,0,1
JustefytaLover,,,4,0.342857,0.4375,121.5,181,7,2,9
VirusTota,,,3,0.434783,0.516667,2532.316667,181,39,2,41
gabyc0908,,,0,0,0,0,181,1,0,1
belenproanio,,,1,1,1,0,11,0,1,1
danielec7,,,0,0,0,0,11,1,0,1
Paoaladina,,,23,0.079666,0.09833,0,176,0,5,5
TheMerryPie1,,,0,0,0,0,176,4,0,4
dieguitocazar,,,22,0.086,0.103934,203497.604654,27,387,2,389
richardpr8,,,13,0.182787,0.25518,0,4,0,20,20
wilfridolaz,,,16,0.153716,0.221585,205363.6931,4,188,17,205
BrunoFelipeO9,,,0,0,0,0,4,1,0,1
amandinhamarton,,,0,0,0,0,4,1,0,1
juanfervelasco,,,0,0,0,0,4,573,0,573
KinttoLucas,,,17,0.117788,0.14046,85730.725255,4,398,3,401
mrjohnkeating,,,13,0.174186,0.237136,329776.490197,4,217,17,234
DrDavidMenendez,,,0,0,0,0,12,4,0,4
MaiadelC,,,19,0.119557,0.168009,92609.734797,4,199,2,201
angelargocom,,,16,0.133097,0.165991,17263.971928,4,47,3,50
angiegomeza,,,21,0.099769,0.129348,285,2,4,4,8
ASandovalEC,,,1,1,1,0,13,0,1,1
RoberCastillo_A,,,0,0,0,0,13,1,0,1
juansleony,,,20,0.103482,0.135469,0,3,0,6,6
PaulCarrascoC,,,0,0,0,0,121,54,0,54
GersonAlmeidaEc,,,0,0,0,0,7,50,0,50
guillen_blanchy,,,1,1,1,17.283333,112,9,2,11
estemandejulio,,,17,0.143301,0.211801,645,26,1,14,15
Karnecita,,,0,0,0,0,26,1,0,1
JoseduVeliz79,,,18,0.125364,0.162992,0,26,1,1,2
mbff87,,,20,0.106814,0.136862,2,7,1,1,2
revistavistazo,,,0,0,0,0,26,2,0,2
salatihel_ec,,,0,0,0,0,26,1,0,1
Guayaco__2020,,,1,1,1,6597,181,390,2,392
vkarauz,,,1,1,1,1,181,6,2,8
monicabanegasc,,,18,0.130801,0.199348,28965.22548,26,11,14,25
carlosluis22m,,,1,1,1,41,26,20,1,21
klevilla,,,0,0,0,0,26,1,0,1
fdavaloso,,,15,0.147585,0.195968,0,137,0,13,13
LOCOTEF,,,17,0.117344,0.137631,13.794872,137,1,1,2
KarenAponteS,,,5,0.419355,0.566667,10.5,137,1,4,5
carlosrojasecu,,,0,0,0,0,181,2,0,2
Josei_Vm,,,0,0,0,0,137,1,0,1
franciscoxloza,,,0,0,0,0,137,1,0,1
Erbm98,,,0,0,0,0,137,1,0,1
acdavalost,,,0,0,0,0,137,1,0,1
Juaniturralde70,,,0,0,0,0,137,1,0,1
FRM87,,,0,0,0,0,137,2,0,2
afmerchan,,,2,0.666667,0.75,0,7,0,1,1
jviscarr,,,1,1,1,1,7,1,1,2
Ricardoc_85,,,18,0.11641,0.14743,0,9,0,6,6
PatricioJijonL1,,,0,0,0,0,9,2,0,2
vhibague,,,17,0.130818,0.171492,636,9,1,3,4
IsAvellan,,,1,1,1,0,9,0,1,1
alfonso69349391,,,16,0.138937,0.176857,5.709524,137,1,2,3
JonathanJo3star,,,0,0,0,0,137,1,0,1
CarlitosGros,,,0,0,0,0,137,1,0,1
64W48,,,13,0.180966,0.254007,27466.035585,4,31,16,47
cristinajacomee,,,1,1,1,12.916667,4,12,2,14
SomoSpumilla,,,14,0.1658,0.223336,121.28908,4,1,7,8
LeoOrlandoA,,,1,1,1,0.75,137,1,2,3
Fressiav,,,0,0,0,0,137,1,0,1
goloor1906,,,0,0,0,0,137,1,0,1
AndreinaRuizG,,,0,0,0,0,137,1,0,1
DiegoArcos14,,,0,0,0,0,137,2,0,2
ByCaiP,,,23,0.08014,0.102409,0,137,0,7,7
chris_monbarce,,,0,0,0,0,137,1,0,1
pabloiturralder,,,0,0,0,0,137,2,0,2
MrLinkEc,,,0,0,0,0,181,6,0,6
IsraHerreraB,,,1,1,1,0,9,0,1,1
DGianella_,,,16,0.11915,0.143052,0,14,0,2,2
Nando2694,,,0,0,0,0,14,1,0,1
adolfolivares,,,3,0.666667,0.805556,0,112,0,4,4
Blankimonki,,,2,0.6,0.666667,2,112,3,1,4
FCBarcelona_cat,,,0,0,0,0,112,1,0,1
ismaelbritoc,,,15,0.136811,0.165234,0,4,0,3,3
Dletrius,,,14,0.15433,0.188471,534.083333,4,1,4,5
cispardo,,,0,0,0,0,4,1,0,1
monygo83,,,24,0.074053,0.089915,0,137,0,4,4
tichervirtual,,,0,0,0,0,137,1,0,1
cameegs9,,,1,1,1,0,15,0,1,1
mjmv_96,,,0,0,0,0,15,1,0,1
fabianv58769750,,,13,0.191079,0.289752,0,4,0,39,39
Cascabelito09,,,17,0.132298,0.187666,7297.1,9,11,15,26
NicolasMaduro,,,0,0,0,0,4,10,0,10
CondorECUADOR,,,12,0.197901,0.278514,132.056988,4,1,21,22
fausthe1,,,0,0,0,0,4,1,0,1
Moni_mc1968,,,17,0.108282,0.141873,8.45098,4,1,12,13
luly_alban,,,14,0.154462,0.202491,1584166.328976,4,178,6,184
AndreaLopezUio,,,18,0.105516,0.121975,803.745238,4,19,2,21
oro_negro26,,,17,0.133599,0.176841,24534.389694,4,58,9,67
cedatos,,,0,0,0,0,4,1,0,1
NuriaButina,,,16,0.11891,0.142978,36140.212073,4,279,3,282
RodriguezAna_K,,,3,0.5,0.560606,201.729365,4,25,2,27
DianaSierra_2,,,1,1,1,599.632634,4,145,4,149
joa_quiin,,,1,1,1,2959.77381,4,8,1,9
ecuared1,,,22,0.086007,0.104453,6.974242,9,3,3,6
